id,category,question,option_a,option_b,option_c,option_d,answer,explanation
20,Values and Principles,What does 'individual liberty' mean as a principle of British life?,People may do absolutely anything they wish,Only British citizens have personal freedoms,People are free to make their own choices within the law,The government decides what is best for each person,C,"Individual liberty means that people are free to live as they choose, to hold their own beliefs, to speak their minds and to associate with whom they wish, provided that they act within the law and do not harm the rights of others. It is one of the fundamental principles listed in the handbook and sits alongside democracy, the rule of law, tolerance and participation in community life. The freedom is not unlimited: the law restricts conduct that endangers people or incites hatred and violence. Nor is it confined to citizens, since the protections of British law apply to everyone lawfully present in the country, whatever their nationality or immigration status."
21,Values and Principles,How far in advance must the Life in the UK test normally be booked?,At least 14 days,It can be booked on the day,At least 3 days,At least 1 month,C,"The test must normally be booked online at least three days in advance of the date you want to sit it, and the fee is paid at the time of booking. Candidates choose a registered test centre and a time slot from those available. When booking, you must give your name and address exactly as they appear on the identity document and proof of address you intend to bring, because centre staff check that these match before allowing anyone to sit the test. Arriving late, bringing the wrong documents, or failing to turn up all result in the loss of the fee, so it pays to check the requirements carefully before the day."
22,Values and Principles,Which of these best describes the UK as a democracy?,Power is held by a single ruling family,Power is held by senior judges,Power is held by elected representatives accountable to the people,Power is held by the largest employers,C,"Democracy is the first of the fundamental principles listed in the handbook. In the United Kingdom it takes the form of a parliamentary democracy in which citizens elect members of Parliament to represent them, and the government is drawn from and accountable to the elected House of Commons. If voters are dissatisfied, they can remove their representatives at the next general election. The monarch is head of state but does not govern, acting on the advice of ministers, while judges interpret and apply the law rather than making policy. Democratic government of this kind developed gradually over centuries rather than being created at a single moment, with the franchise widening in stages until universal adult suffrage was achieved."
23,Values and Principles,Which of these is listed as a responsibility of those settling permanently in the UK?,Becoming a member of a trade union,Volunteering for the armed forces,Donating to a political party,Looking after yourself and your family,D,"The handbook expects people who make their permanent home in the United Kingdom to take responsibility for looking after themselves and their families. The idea is that people should support themselves through work where they can and should care for their dependants, while the state provides a safety net for those in genuine need. Other listed responsibilities include obeying the law, respecting the rights and opinions of others, treating people fairly, and caring for the local area and the environment. Joining a trade union, giving money to a political party and serving in the armed forces are all voluntary choices in Britain, protected by the freedoms of association and conscience rather than required of anybody."
24,Values and Principles,What must candidates bring with them to a Life in the UK test appointment?,A letter from an employer,A completed citizenship application form,Two passport photographs and a birth certificate,Acceptable photographic identification and proof of address,D,"Candidates must bring an acceptable form of photographic identification, such as a passport, a biometric residence permit or a UK photocard driving licence, together with proof of the address they used when booking, for example a recent utility bill or council tax statement. Staff check that the name and address match the booking exactly. Anyone who cannot produce the correct documents will not be allowed to sit the test and will lose the fee, with no refund and no transfer to another date. Phones, bags, notes and other personal items must be left outside the test room. These precautions exist to make sure that the person taking the test is the person who booked it."
25,Values and Principles,Which of these statements about extremism is consistent with the values described in the handbook?,Extremist groups may be funded by the state,Extremism and terrorism are rejected by British society,Extremism is a private matter of no public concern,Extremism is tolerated as a form of free speech,B,"The handbook is explicit that British society does not tolerate extremism or terrorism. Freedom of speech is a genuine and valued freedom, but it has never extended to inciting violence, stirring up hatred against groups of people, or supporting terrorist causes, all of which are criminal offences. The values of democracy, the rule of law, individual liberty and mutual tolerance are incompatible with attempts to impose beliefs on others by force or intimidation. Applicants for citizenship must show that they are of good character, and involvement in extremist activity would defeat such an application. Rejecting extremism is therefore presented not as an optional opinion but as part of the shared framework of British public life."
26,Values and Principles,"Which of these is one of the things the UK offers to those who come to live there, according to the handbook?",Freedom from unfair discrimination,A guaranteed job on arrival,Free international travel,Exemption from jury service,A,"The handbook describes freedom from unfair discrimination as one of the things the United Kingdom offers to people who settle there. British law, principally the Equality Act, makes it unlawful to treat someone less favourably because of characteristics such as age, disability, sex, race, religion or belief, sexual orientation, marriage or civil partnership, pregnancy and maternity, or gender reassignment. The protection applies in employment, in education, in housing and in the provision of goods and services. Other things the handbook lists include freedom of belief and religion, freedom of speech, a right to a fair trial and a right to join in electing a government. Employment, jury service and travel are governed by entirely separate rules."
27,Values and Principles,What is the purpose of the 'good character' requirement for naturalisation?,To assess an applicant's religious devotion,To measure an applicant's level of education,To ensure applicants have respected the law and been honest with the authorities,To check an applicant's personal wealth,C,"Applicants for naturalisation as British citizens must satisfy the Home Office that they are of good character. In practice this means that they have obeyed the law, have not been involved in serious or persistent criminality, have paid the tax they owe, have complied with immigration rules, and have been truthful in their dealings with the authorities. Deception in an application, including cheating in the Life in the UK test, is treated very seriously. The requirement is not concerned with wealth, educational attainment or religious belief, all of which are irrelevant to it. It reflects the idea, running throughout the handbook, that rights and freedoms come paired with responsibilities towards the wider community."
28,Values and Principles,Participation in community life is described in the handbook as what?,An activity discouraged by the government,A legal obligation enforced by fines,A requirement only for citizens over 30,A fundamental principle of British life,D,"Participation in community life appears in the handbook's list of fundamental principles, alongside democracy, the rule of law, individual liberty and tolerance of those with different faiths and beliefs. Taking part might mean volunteering, helping at a school as a governor or reading assistant, joining a neighbourhood or residents' association, supporting a charity, serving as a magistrate or special constable, or simply being a good neighbour. None of this is compulsory and there is no penalty for those who do not take part. The handbook devotes attention to it because the strength of local communities in Britain has traditionally rested on voluntary effort rather than on direction from central government."
29,Values and Principles,Which of these is true about taking the oath at a citizenship ceremony?,A religious oath is compulsory for everyone,Only people born outside Europe take the oath,The oath must be taken in Latin,Those who prefer not to swear a religious oath may make a secular affirmation,D,"New citizens may choose between swearing a religious oath by Almighty God and making a solemn affirmation with no religious content. Both have exactly the same legal effect, so nobody is obliged to make a declaration that conflicts with their beliefs or lack of them. The choice reflects the freedom of belief and religion described elsewhere in the handbook. The words are spoken in English, or in Welsh or Scottish Gaelic where appropriate, and are followed by the pledge of loyalty to the United Kingdom. Every applicant who is granted citizenship through naturalisation and is aged eighteen or over attends a ceremony, whatever their country of origin."
30,Values and Principles,What does the handbook say about the relationship between rights and responsibilities?,Rights come with responsibilities towards others and the community,Rights are entirely separate from any duties,Rights can be earned only after ten years' residence,Responsibilities apply only to people born in the UK,A,"A consistent theme of the handbook's first chapter is that the freedoms and rights people enjoy in Britain are accompanied by responsibilities. The rights include freedom of belief and religion, freedom of speech, freedom from unfair discrimination, a fair trial and a say in electing the government. The matching responsibilities include respecting and obeying the law, respecting the rights and opinions of others, treating people with fairness, providing for yourself and your family, and looking after your local area and the environment. These duties are owed by everyone who makes their home in the country, not only by those born there, and they apply from the outset rather than after a qualifying period."
31,Values and Principles,Which of these may be accepted as proof that a person cannot take the test for health reasons?,A letter from an employer,A doctor's written confirmation of a long-term physical or mental condition,A statement from the applicant alone,A note written by a family member,B,"An applicant who has a long-term physical or mental condition that prevents them from taking the Life in the UK test or from meeting the English language requirement may be exempted, but the condition must be confirmed in writing by a doctor. The exemption is not available simply because someone finds the test difficult or is nervous about it, and a statement from the applicant, a relative or an employer will not suffice. The other automatic exemptions are based on age, covering applicants who are under 18 or aged 65 and over. Everyone else must pass the test and demonstrate their English, normally at level B1 of the Common European Framework."
32,Values and Principles,What should you do if you disagree with a law in the UK?,Campaign lawfully to have it changed,Ignore it until it is repealed,Apply to a foreign court to overturn it,Encourage others to break it,A,"The rule of law means obeying laws even when you disagree with them, but it does not mean accepting them in silence. Britain offers many lawful routes for changing the law: writing to your member of Parliament, signing or starting a petition, joining a campaign group or political party, taking part in peaceful demonstrations, writing to newspapers, and above all voting. Laws in the United Kingdom are made by Parliament, and pressure from voters and campaigners has repeatedly changed them over time. Encouraging others to break the law is itself an offence, and disagreement with a rule is never accepted as a defence in court. Peaceful persuasion is the constitutional alternative."
33,Values and Principles,Which of these best describes what happens immediately after you pass the Life in the UK test?,You receive a unique reference number to use in your immigration application,You are issued with a British passport,You automatically become a British citizen,You are given the right to vote in general elections,A,"Passing the test is only one step in a longer process. Successful candidates receive a notification letter with a unique reference number, which must be quoted in an application for settlement or naturalisation. The pass does not expire and does not have to be retaken for a later application. It does not, however, confer citizenship, a passport or voting rights by itself: those follow only if the Home Office grants the application, and in the case of naturalisation only after the applicant has attended a citizenship ceremony. Applicants must also meet the other requirements, including the English language standard, the residence conditions and the good character test."
34,Values and Principles,Which of these is a way of taking part in community life that the handbook encourages?,Avoiding all contact with local institutions,Declining to serve on a jury when summoned,Refusing to speak to neighbours,Volunteering for a local charity,D,"The handbook devotes attention to the many ways people can contribute to the communities in which they live. Suggestions include volunteering for charities, helping at a local school as a governor or a parent volunteer, joining a residents' or neighbourhood association, fundraising, assisting with youth organisations or sports clubs, and giving time to environmental projects. Such activity is voluntary, yet it is treated as an important part of British life because so many local services and organisations depend on it. Jury service, by contrast, is not voluntary at all: those summoned are legally required to attend unless they are excused, and ignoring a summons can lead to a fine."
35,Values and Principles,Which statement about the Life in the UK test is correct?,You may only ever attempt it twice,A failed attempt bars you from settlement permanently,"It can be retaken if you fail, on payment of a further fee",It is free of charge for all applicants,C,"Candidates who do not reach the pass mark may take the test again. There is no limit on the number of attempts, but each one must be booked separately and the fee paid again, and there is a short waiting period between sittings. Failing the test therefore costs time and money, but it does not damage an immigration application in itself, provided that a pass is eventually obtained before the application is submitted. The fee is not refundable in any circumstances, including where a candidate arrives without the right documents or fails to attend. This is why careful preparation and a check of the booking requirements before the day are worthwhile."
36,Values and Principles,The principles and values of the UK are based on which of these?,History and traditions developed over many centuries,A code issued by the European Union,A written constitution adopted in 1945,Rules laid down by the Church of England,A,"The handbook explains that the values and principles of British life are rooted in history and tradition and have been protected by law, custom and international agreement over a long period. Unlike many countries, the United Kingdom has no single written constitutional document; instead its constitution is found in Acts of Parliament, in decisions of the courts, and in conventions that have hardened into practice. Landmarks in that development include Magna Carta, the Bill of Rights of 1689 and successive Reform Acts widening the franchise. Because the arrangements grew up gradually rather than being designed at one moment, they can be changed by Parliament in the ordinary way, which makes the constitution notably flexible."
37,Values and Principles,Which of these does the handbook describe as part of being a good citizen?,Reporting neighbours for their religious beliefs,Avoiding paying tax where possible,Supporting only people from your own background,Treating others with fairness,D,"Treating other people with fairness is one of the responsibilities the handbook lists for everybody who settles in the United Kingdom, and it follows naturally from the principles of tolerance and freedom from unfair discrimination. Fairness in this sense means judging people by their conduct rather than by their background, religion, sex or race, and dealing honestly with those you live and work among. Discriminating in favour of people from your own community, or against those of a different faith, would contradict the values the chapter describes and might also be unlawful. Deliberately avoiding tax that is lawfully due can amount to a criminal offence and would count against an applicant's good character."
38,Values and Principles,Who is required to pass the Life in the UK test?,Only applicants from outside Europe,Most applicants for settlement or British citizenship,Everyone entering the UK as a visitor,All foreign students on arrival,B,"The test is a requirement for most people applying for indefinite leave to remain, that is settlement, or for naturalisation as a British citizen. It does not apply to visitors, to students on temporary study visas, or to workers who hold time-limited permission and are not yet applying to settle. Nationality is irrelevant to whether the requirement applies: an applicant from a European country must pass it on the same terms as anyone else. The exceptions are based on age, covering those under 18 and those aged 65 or over, and on long-term physical or mental conditions confirmed by a doctor. Applicants must generally also meet an English language requirement."
39,Values and Principles,What does the handbook say about the role of tolerance in a diverse society?,It applies only to religious minorities,It means never expressing disagreement,It allows people of different backgrounds to live together peacefully,It requires everyone to adopt the same beliefs,C,"Britain is a diverse society drawing together people of many national, ethnic and religious backgrounds, and tolerance is presented in the handbook as the principle that makes such a society work. Tolerance does not mean that everyone must think alike or that nobody may disagree; on the contrary, freedom of speech protects the expression of strongly held and competing views. What it does mean is accepting the right of others to live according to beliefs you do not share, refraining from harassment or abuse, and settling differences by argument rather than intimidation. The principle applies to everybody, whether they belong to a majority or a minority community, and is reinforced by laws against discrimination and hatred."
40,Values and Principles,Which of these is the correct order of steps for someone seeking British citizenship by naturalisation?,"Take the test, receive a passport, then apply","Meet the residence requirements, pass the test and English requirement, apply, then attend a ceremony","Apply, be granted citizenship, then take the test","Attend a ceremony, then apply and take the test",B,"The usual sequence begins with meeting the residence requirements, which generally means a qualifying period of lawful residence in the United Kingdom and, for most applicants, holding indefinite leave to remain for a period before applying. The applicant must then satisfy the knowledge requirements by passing the Life in the UK test and demonstrating English at the required level, unless exempt. Only then is the application for naturalisation submitted to the Home Office, together with the test reference number and evidence of good character. If the application succeeds, the applicant is invited to a citizenship ceremony, where the oath or affirmation and pledge are made and the certificate of citizenship is presented."
41,Values and Principles,What is the effect of the citizenship pledge on new citizens?,It commits them to upholding the UK's democratic values and observing its laws,It transfers their tax affairs to the Home Office,It obliges them to live in the UK for life,It requires them to serve in the armed forces,A,"In the pledge, a new citizen promises to give loyalty to the United Kingdom, to respect its rights and freedoms, to uphold its democratic values, to observe its laws faithfully and to fulfil the duties and obligations of a British citizen. It is a statement of civic commitment rather than a contract with practical conditions attached. It imposes no military obligation, since Britain has had no conscription since the years after the Second World War, and it does not prevent a citizen from living or working abroad. Tax liability depends on residence and income rather than on nationality, and is a matter for HM Revenue and Customs rather than the Home Office."
42,Values and Principles,Which of these best explains why the UK has laws against discrimination?,To limit the number of people who may work,To give preference to British-born workers,To restrict freedom of speech,To ensure people are not treated unfairly because of who they are,D,"Anti-discrimination law exists so that people are judged on their merits and conduct rather than on characteristics they cannot change or that are matters of private conscience. The Equality Act protects characteristics including age, disability, sex, race, religion or belief, sexual orientation, gender reassignment, marriage and civil partnership, and pregnancy and maternity. Employers, landlords, schools and businesses providing goods and services must not treat people less favourably on those grounds. This supports the freedom from unfair discrimination that the handbook lists among the things the United Kingdom offers. Far from restricting free expression, the law is intended to ensure that everyone can participate in public and working life on equal terms."
43,Values and Principles,Which of these is NOT one of the responsibilities listed for permanent residents in the handbook?,Respecting and obeying the law,Treating others with fairness,Looking after the environment,Attending a place of worship regularly,D,"The responsibilities the handbook lists are civic rather than religious: respecting and obeying the law, respecting the rights of others including their right to their own opinions, treating others with fairness, looking after yourself and your family, and looking after the area in which you live and the environment. Religious observance forms no part of that list. The United Kingdom guarantees freedom of belief and religion, which includes the freedom to practise no religion at all, and a large proportion of the population does not attend any place of worship. Requiring attendance would flatly contradict the principle of individual liberty that the same chapter identifies as fundamental."
44,Values and Principles,The Life in the UK test is taken in which format?,A written essay,Multiple-choice questions on a computer,A group discussion,A spoken interview with an official,B,"The test is a computer-based, multiple-choice examination taken under supervision at a registered test centre. Candidates answer 24 questions in 45 minutes, selecting from the options displayed on screen. Some questions ask the candidate to choose one correct answer from four options, while others present a statement and ask whether it is true or false, or ask for two correct answers from four. There is no essay, interview or oral component: spoken English is assessed separately through an approved speaking and listening qualification where that requirement applies. The result is produced automatically as soon as the test is submitted, and a notification letter is issued at the centre before the candidate leaves."
45,Values and Principles,Which of these is a benefit of British citizenship that settlement alone does not provide?,The right to work in the UK,The right to rent a home,The right to hold a British passport,The right to use the National Health Service,C,"People with indefinite leave to remain may live, work, study, rent property and use public services in the United Kingdom on much the same footing as citizens. What settlement does not give is a British passport, the right to vote in every election, or the ability to stand for public office. Settled status can also lapse if the holder spends a long period outside the country, whereas citizenship is not lost by living abroad. Citizenship is acquired by naturalisation or registration, normally after a period of settlement, and takes effect at the citizenship ceremony where the oath or affirmation and the pledge are made."
46,Values and Principles,Which value is reflected by the fact that a person may choose to affirm rather than swear at a citizenship ceremony?,The rule of law,Participation in community life,Freedom of belief and religion,Freedom of movement,C,"Allowing a secular affirmation in place of a religious oath is a practical expression of the freedom of belief and religion that the handbook lists among the things the United Kingdom offers. That freedom includes the right to practise any religion, to change religion and to hold no religious belief at all. The same principle explains why witnesses in court may affirm instead of swearing on a sacred text, and why religious observance is not required of public officials. It sits alongside tolerance of those with different faiths and beliefs, one of the fundamental principles of British life, and is supported by laws prohibiting discrimination on grounds of religion or belief."
47,Values and Principles,What is the main aim of the Life in the UK test?,To measure applicants' professional qualifications,To assess whether applicants can afford to live in the UK,To test applicants' physical fitness,"To check that applicants have a knowledge of British life, society and institutions",D,"The purpose of the test is to establish that people seeking settlement or citizenship have a sufficient knowledge of life in the United Kingdom, covering its values and traditions, its history, its society and culture, and the way its government and legal system work. The underlying idea is that this knowledge helps newcomers take a full part in the community and understand the rights and responsibilities they are taking on. It is assessed alongside, but separately from, the English language requirement. Financial resources, professional qualifications and health are dealt with, where relevant, by other parts of the immigration rules rather than by this test."
